"","sample","experiment","group","protein","fiber","ab"
"X572",572,"exercise","Egg+Cellulose","Egg","Cellulose","EC572"
"X635",635,"exercise","Egg+Cellulose","Egg","Cellulose","EC635"
"X638",638,"exercise","Egg+Cellulose","Egg","Cellulose","EC638"
"X586",586,"exercise","Egg+Cellulose","Egg","Cellulose","EC586"
"X568",568,"exercise","Egg+Cellulose","Egg","Cellulose","EC568"
"X639",639,"exercise","Egg+Cellulose","Egg","Cellulose","EC639"
"X563",563,"exercise","Egg+Cellulose","Egg","Cellulose","EC563"
"X591",591,"exercise","Egg+Inulin","Egg","Inulin","EI591"
"X587",587,"exercise","Egg+Inulin","Egg","Inulin","EI587"
"X565",565,"exercise","Egg+Inulin","Egg","Inulin","EI565"
"X633",633,"exercise","Egg+Inulin","Egg","Inulin","EI633"
"X576",576,"exercise","Egg+Inulin","Egg","Inulin","EI576"
"X562",562,"exercise","Egg+Inulin","Egg","Inulin","EI562"
"X577",577,"exercise","Egg+Inulin","Egg","Inulin","EI577"
"X560",560,"exercise","Egg+Inulin","Egg","Inulin","EI560"
"X637",637,"exercise","Whey+Cellulose","Whey","Cellulose","WC637"
"X580",580,"exercise","Whey+Cellulose","Whey","Cellulose","WC580"
"X634",634,"exercise","Whey+Cellulose","Whey","Cellulose","WC634"
"X564",564,"exercise","Whey+Cellulose","Whey","Cellulose","WC564"
"X636",636,"exercise","Whey+Cellulose","Whey","Cellulose","WC636"
"X561",561,"exercise","Whey+Cellulose","Whey","Cellulose","WC561"
"X579",579,"exercise","Whey+Cellulose","Whey","Cellulose","WC579"
"X632",632,"exercise","Whey+Cellulose","Whey","Cellulose","WC632"
"X585",585,"exercise","Whey+Inulin","Whey","Inulin","WI585"
"X573",573,"exercise","Whey+Inulin","Whey","Inulin","WI573"
"X584",584,"exercise","Whey+Inulin","Whey","Inulin","WI584"
"X566",566,"exercise","Whey+Inulin","Whey","Inulin","WI566"
"X569",569,"exercise","Whey+Inulin","Whey","Inulin","WI569"
"X571",571,"exercise","Whey+Inulin","Whey","Inulin","WI571"
"X570",570,"exercise","Whey+Inulin","Whey","Inulin","WI570"
"X578",578,"exercise","Whey+Inulin","Whey","Inulin","WI578"
"X583",583,"exercise","Control","Control","Control","CON583"
"X567",567,"exercise","Control","Control","Control","CON567"
"X581",581,"exercise","Control","Control","Control","CON581"
"X590",590,"exercise","Control","Control","Control","CON590"
"X575",575,"exercise","Control","Control","Control","CON575"
"X582",582,"exercise","Control","Control","Control","CON582"
"X589",589,"exercise","Control","Control","Control","CON589"
